name,elevation,aspect,horizontal_distance_to_roadways,time_in,time_out
lenhsyyw,0.753,0.256,0.597,662,1371
btpjddfd,0.246,0.447,0.152,904,1289
hlfzkypl,0.238,0.914,0.203,739,1393
fviisiaz,0.266,0.786,0.182,598,1636
mybfkdyy,0.273,0.942,0.169,417,1197
mmpofrmk,0.277,0.819,0.152,667,1657
vlhaqjfy,0.306,0.389,0.115,679,1362
aeyzmkqn,0.243,0.256,0.064,843,953
zbqbfipk,0.331,0.15,0.021,554,1435
efjqxeyv,0.328,0.342,0.039,787,922
skbdzqgk,0.269,0.069,0.093,363,1674
geyowfiz,0.263,0.067,0.093,760,1441
rzdxdddj,0.269,0.192,0.11,602,1571
thmwkgao,0.266,0.244,0.11,270,415
hfilsexf,0.26,0.244,0.11,319,1001
fjrrhjti,0.248,0.147,0.112,200,1248
ubcxuljl,0.305,0.933,0.099,574,1102
urdeyhtq,0.309,0.394,0.094,370,490
oqvrgbdx,0.307,0.289,0.093,274,1431
jfsnlzxi,0.267,0.242,0.099,21,814
ilwghooz,0.26,0.231,0.1,549,1363
wlzjoefz,0.253,0.0,0.104,786,1935
oystgbiw,0.27,0.856,0.128,267,1253
eslficok,0.278,0.947,0.129,106,154
lincnxtd,0.278,0.139,0.1,254,495
bnkupxrr,0.271,0.325,0.068,215,1453
fatmzsco,0.227,0.308,0.042,291,1054
bnejajnc,0.753,0.994,0.587,416,698
ulgrfppd,0.648,0.4,0.143,459,1233
ywryeadc,0.552,0.175,0.256,455,1360
kitiimyf,0.582,0.028,0.436,165,1831
xxcdutgm,0.245,0.3,0.143,303,1625
seampxth,0.229,0.306,0.164,469,610
leahaarv,0.226,0.811,0.201,905,1474
bijifhtx,0.253,0.742,0.19,636,1242
zblxoqws,0.28,0.919,0.153,5,781
gboaoamp,0.3,0.647,0.128,546,1415
gqoghraf,0.304,0.589,0.119,887,1971
oghrjyhn,0.293,0.308,0.103,787,1198
opfjgrcj,0.246,0.175,0.07,152,740
gmhlbpgy,0.339,0.942,0.021,325,1811
aawyfdoo,0.327,0.314,0.036,199,473
itbtgtaj,0.323,0.892,0.046,847,1106
evmumzkw,0.294,0.836,0.096,266,278
pyrxsigk,0.254,0.158,0.107,656,1887
tcvmgxti,0.251,0.081,0.107,936,1396
hbychpfu,0.306,0.528,0.089,578,1231
otcptusm,0.254,0.989,0.1,581,1134
oryxpkoq,0.283,0.0,0.12,586,1014
dhofnrnq,0.257,0.361,0.059,681,1152
uxcmtjkk,0.251,0.358,0.055,564,1614
ovzuqwzz,0.759,0.044,0.612,524,1544
wjgecege,0.603,0.975,0.298,820,1862
xximvrnl,0.511,0.011,0.349,568,1289
kbnskqml,0.245,0.206,0.142,309,745
yxkvzkma,0.249,0.972,0.203,747,1513
csfwzvuu,0.271,0.733,0.178,633,720
evnaavpv,0.285,0.969,0.162,678,1412
zkhkxgcn,0.284,0.981,0.157,186,1821
knfakymx,0.258,0.239,0.083,588,1077
hukvoxtt,0.318,0.058,0.009,921,945
joywprlm,0.336,0.267,0.017,790,881
uousbjvf,0.334,0.35,0.013,402,711
hjlpniss,0.329,0.233,0.03,387,1272
wantgfxr,0.265,0.181,0.101,562,1989
pldqqwpu,0.26,0.108,0.102,218,726
bagyxubx,0.259,0.058,0.103,286,1577
wztzkctg,0.26,0.856,0.108,749,1696
haqghpge,0.303,0.469,0.085,910,1922
afnavcnh,0.257,0.933,0.096,428,1198
ipwdiqyp,0.259,0.944,0.098,396,933
kspmdura,0.262,0.911,0.103,888,1295
kdedmppv,0.271,0.928,0.111,775,1569
jzamogmc,0.283,0.911,0.128,632,1580
pnfcbqhv,0.69,0.825,0.259,603,935
abjzoxma,0.725,0.992,0.238,598,1777
hgcnkyjd,0.515,0.831,0.355,174,626
bbgtjefb,0.275,0.292,0.121,107,1842
wwbmncex,0.214,0.197,0.187,264,1841
eqxrqneq,0.247,0.908,0.212,493,1043
urzjdqhw,0.252,0.958,0.212,180,1955
ucosujrw,0.264,0.769,0.183,641,946
ptwhtnpy,0.291,0.783,0.137,981,1138
pkfgtncs,0.271,0.189,0.092,963,1164
oiixtepu,0.266,0.153,0.088,922,1172
lnpsepoj,0.32,0.9,0.006,746,1860
ygtrrkpu,0.333,0.067,0.009,799,918
dvsdkhjv,0.267,0.136,0.097,654,1056
kodjsrat,0.262,0.019,0.101,584,813
wetiflgd,0.274,0.914,0.105,730,1078
qekvbazz,0.289,0.956,0.129,122,1214
vuhtdqet,0.286,0.125,0.106,45,482
ndgubzlh,0.207,0.281,0.028,442,824
akpitrfc,0.759,0.072,0.608,370,969
avqelkwq,0.759,0.003,0.604,987,1864
mldryzuu,0.73,0.022,0.247,736,1264
ilcaliyf,0.514,0.056,0.345,82,1686
exhlbzda,0.263,0.992,0.2,585,1289
oejyrjyu,0.275,0.786,0.175,817,1587
oxbdiyev,0.295,0.011,0.15,348,473
gbzqxorp,0.278,0.125,0.097,869,1269
nqeplhxp,0.275,0.1,0.093,741,1036
rrfjpifs,0.338,0.758,0.008,407,1171
ilqzjvas,0.275,0.178,0.093,849,1840
gcuakuvy,0.304,0.875,0.091,202,501
rxqhiyjc,0.274,0.289,0.08,479,1257
pyeqwzif,0.277,0.872,0.101,956,1319
foywoxus,0.223,0.275,0.039,48,562
sxytwkkq,0.208,0.208,0.027,69,1108
ytcghgsa,0.611,0.956,0.296,287,1270
kngdeneh,0.562,0.267,0.049,841,1572
zwsegnyq,0.243,0.303,0.149,883,1454
kjsqlkzf,0.274,0.906,0.18,759,1042
jlbecfle,0.277,0.856,0.176,247,1274
hovqzaok,0.293,0.819,0.164,994,1974
rngctsxx,0.298,0.975,0.139,935,1238
nudmkluy,0.293,0.208,0.11,701,757
eoqhelro,0.303,0.886,0.09,367,1449
weblajuh,0.31,0.092,0.081,639,961
vfhwezic,0.261,0.111,0.081,37,455
txgahcmi,0.264,0.936,0.083,26,1118
raamqcaq,0.299,0.039,0.118,504,1756
yhlqojaa,0.551,0.911,0.203,102,1549
lnnwqkjq,0.265,0.869,0.218,79,821
fuwnzirr,0.302,0.994,0.139,260,365
rgfnognn,0.33,0.864,0.013,20,776
lqvoyejy,0.336,0.908,0.013,181,797
qqolgzhi,0.285,0.942,0.094,197,1140
cqnpdhxk,0.287,0.911,0.096,608,793
hnzdnaca,0.29,0.347,0.068,603,775
rysrverr,0.287,0.536,0.067,764,1104
qkemdpwg,0.287,0.408,0.068,49,1470
lrrpwrax,0.263,0.181,0.075,44,806
yplckebl,0.263,0.925,0.077,38,215
eiybscxl,0.27,0.811,0.09,124,603
wdmazgkk,0.305,0.953,0.126,718,1568
dzbeinxx,0.26,0.325,0.072,55,1087
deqtzgrn,0.553,0.242,0.123,651,1530
heyfujwq,0.242,0.378,0.139,874,1657
newmompo,0.245,0.728,0.207,410,1295
kerykctf,0.28,0.972,0.194,434,770
dwxqpkjb,0.282,0.961,0.185,203,1076
wdlnhkli,0.305,0.958,0.148,456,842
dbtvpuxn,0.307,0.978,0.143,491,1195
bedcwcgl,0.304,0.056,0.118,311,823
uzbpwazk,0.285,0.972,0.085,993,1478
cfhzrxdm,0.288,0.944,0.087,77,1108
svcrdmap,0.309,0.889,0.087,141,383
qtbrxezk,0.267,0.097,0.07,808,1459
gzweevca,0.269,0.931,0.076,209,1908
yjxagsvb,0.28,0.222,0.093,862,1495
mdlwykhz,0.677,0.211,0.177,405,1372
vmoleqzn,0.224,0.406,0.152,547,1259
jbytlbdh,0.22,0.45,0.156,375,1062
zupqxvpn,0.219,0.519,0.164,896,1406
wrxghuen,0.222,0.55,0.169,890,1995
bcdegxup,0.225,0.539,0.173,988,1368
xthqnrvw,0.226,0.492,0.177,776,812
nigvbsti,0.221,0.258,0.185,910,1795
jynqxaut,0.299,0.892,0.165,317,464
kxkpdnhz,0.286,0.247,0.059,269,1083
skscgwnr,0.282,0.325,0.059,332,432
jijfivvu,0.276,0.197,0.063,912,976
xzefxucw,0.271,0.044,0.066,48,1602
xiwjemxz,0.282,0.714,0.093,302,389
pikzrnjm,0.305,0.861,0.114,324,1198
euddtqlc,0.307,0.156,0.114,937,1614
emsnxajt,0.628,0.294,0.385,371,1802
ytfqolpz,0.614,0.353,0.379,493,1475
lswujspe,0.224,0.375,0.148,799,884
mqrxniev,0.218,0.514,0.173,782,1222
yaqjllqj,0.22,0.508,0.177,184,1247
lgxzmqik,0.22,0.483,0.181,139,1964
gnvupued,0.222,0.867,0.19,224,992
onnbmrzi,0.227,0.728,0.196,8,969
xeizuryc,0.28,0.808,0.207,673,1931
rhrlgdig,0.301,0.942,0.169,840,1785
gvroiflx,0.313,0.358,0.075,449,1997
nerqzycc,0.301,0.369,0.062,433,681
qyzpmdrl,0.299,0.35,0.06,790,842
mrmyastl,0.29,0.242,0.056,416,1278
qsbwmdrt,0.284,0.114,0.055,664,1587
uplikbyq,0.278,0.119,0.056,580,1979
waciyxtp,0.276,0.025,0.06,288,807
fdtyulkv,0.303,0.806,0.108,242,1523
hirjdnex,0.313,0.278,0.119,32,370
zccqshxb,0.294,0.211,0.102,146,1428
eygdgzqe,0.249,0.083,0.052,971,1274
slvaovor,0.213,0.119,0.017,348,1450
mxeomyhv,0.594,0.992,0.464,841,1621
euakediw,0.224,0.936,0.189,63,1108
zfqqrjbh,0.225,0.939,0.19,118,799
exvwqlza,0.261,0.728,0.206,292,1568
ltsgefqf,0.309,0.975,0.082,778,1235
pzgdlqlx,0.295,0.333,0.055,670,1002
jstwknir,0.29,0.094,0.052,561,732
bfcnrvcg,0.279,0.003,0.072,2,404
lqsgcbfh,0.294,0.2,0.103,299,738
apxabakr,0.258,0.064,0.061,54,269
ejfwfsoz,0.561,0.917,0.131,306,1433
losmdsal,0.635,0.583,0.04,937,1321
thdbmnvf,0.221,0.339,0.144,258,268
khcgngad,0.226,0.078,0.172,156,181
vbznajmn,0.318,0.947,0.157,11,1163
ivvnenuw,0.322,0.981,0.128,555,720
psqxkyil,0.249,0.267,0.063,405,825
hbcozwuf,0.301,0.244,0.057,456,1135
mevyiukg,0.297,0.253,0.055,39,635
kjgsfkti,0.294,0.219,0.053,430,1776
rqdrekat,0.294,0.036,0.051,466,907
ugokwzez,0.295,0.028,0.047,120,1691
fszlosvk,0.288,0.103,0.047,1,712
aaytmqsg,0.284,0.014,0.066,169,1086
rdtydgyj,0.283,0.014,0.069,664,1105
nbmmqsct,0.309,0.469,0.123,346,422
sljvwrnl,0.309,0.192,0.116,3,1108
urptsier,0.284,0.136,0.091,190,220
fazxehpg,0.265,0.106,0.071,592,1651
fhagqsvw,0.226,0.264,0.027,80,1152
orrccpoq,0.222,0.214,0.023,180,1485
ihksfeez,0.707,0.947,0.297,5,1608
avjhkjfo,0.564,0.156,0.075,937,1901
joyqfuwn,0.228,0.383,0.131,325,1967
fsindkff,0.234,0.889,0.151,43,1894
rlfvmvoq,0.26,0.75,0.199,905,1815
ordpshjx,0.304,0.867,0.191,522,942
ujoydpec,0.322,0.975,0.158,1,1261
txodfeej,0.326,0.986,0.146,928,1996
rwvrkmdw,0.301,0.175,0.054,391,488
eypvxfut,0.297,0.056,0.043,231,1952
gizjafpj,0.29,0.978,0.043,87,802
qinqbxvm,0.284,0.186,0.088,258,1773
zkluihgq,0.271,0.236,0.076,969,1979
hebrkern,0.224,0.242,0.028,36,376
tlvrzumk,0.621,0.869,0.336,29,1010
qjxklttj,0.588,0.136,0.409,134,1518
kzhmkuyy,0.638,0.311,0.061,518,776
lzhhuxdm,0.232,0.097,0.065,291,1609
toamxlkl,0.229,0.894,0.142,25,139
ikrrkkqs,0.249,0.947,0.181,742,1658
yxapzbhn,0.269,0.747,0.198,509,1159
xcinbidg,0.278,0.75,0.201,625,1179
dibaajlk,0.323,0.917,0.171,969,1263
zphqmghv,0.329,0.019,0.138,62,462
outxiwlq,0.306,0.183,0.057,246,1719
lwamwzpk,0.301,0.981,0.043,271,473
olvzfkqv,0.297,0.925,0.041,217,630
xvolfjru,0.279,0.328,0.085,991,1486
ruykylss,0.269,0.308,0.078,952,1313
mwnjavxd,0.228,0.275,0.034,351,1705
lxqleowr,0.689,0.333,0.439,67,1886
ubkuqwnp,0.525,0.636,0.331,622,1159
yzqfulze,0.621,0.333,0.061,65,619
vuheaozp,0.229,0.092,0.075,428,921
mwoadrlj,0.223,0.364,0.125,621,1705
tajzxotb,0.223,0.917,0.129,327,346
gevtkndm,0.327,0.892,0.168,24,1141
meyecnbk,0.291,0.281,0.103,210,1950
aritmetu,0.26,0.258,0.082,865,879
fvxquyny,0.249,0.278,0.07,478,786
watrdqms,0.309,0.236,0.061,799,1982
dfecjayr,0.308,0.017,0.045,803,1312
jnlvowhz,0.303,0.953,0.04,936,1753
dgadegzj,0.304,0.0,0.042,730,1478
ynauydrd,0.296,0.044,0.054,214,1472
qjbhqjko,0.298,0.089,0.064,212,1728
sigziuvj,0.296,0.033,0.075,134,619
wkpjfkcp,0.294,0.053,0.079,768,1190
bofusvha,0.293,0.964,0.087,83,243
lqbrbcik,0.296,0.869,0.095,441,919
usflldgk,0.284,0.375,0.095,818,1787
xljflifw,0.254,0.364,0.059,645,941
rlunswuy,0.231,0.206,0.04,975,1919
tktzpyny,0.226,0.147,0.036,975,1335
tlsfkrdb,0.594,0.206,0.099,248,618
bxxgrbfg,0.527,0.333,0.111,97,594
xufbxrxn,0.501,0.397,0.148,42,1640
gmzfyfjy,0.223,0.381,0.119,853,893
rgssuitd,0.238,0.911,0.134,347,450
bxhkgesl,0.261,0.797,0.189,285,301
cnenhpwk,0.302,0.725,0.198,71,333
tqylmzau,0.271,0.261,0.091,561,1201
cfcbefku,0.311,0.164,0.062,771,1433
xrcgnywo,0.31,0.006,0.059,693,1623
fjmqftnl,0.3,0.875,0.032,263,1697
kmhzcxhx,0.303,0.625,0.117,370,419
bmnwjhvk,0.306,0.564,0.121,806,900
bhfyizda,0.234,0.158,0.042,729,1956
bbtzsdpx,0.54,0.2,0.06,838,1540
yrdxxeul,0.526,0.989,0.324,520,539
ovpwjqos,0.633,0.739,0.066,912,1188
hbfrsoxr,0.246,0.128,0.074,336,1986
fwvqnzwp,0.237,0.128,0.16,191,1419
dolzfjgh,0.242,0.703,0.166,321,1651
jopnlbya,0.263,0.056,0.18,772,1059
mwxquiti,0.336,0.875,0.166,649,885
evepqmno,0.305,0.983,0.068,332,572
bvjnufbd,0.303,0.992,0.076,941,1801
wjsukjsz,0.303,0.367,0.121,413,1310
nghvqile,0.245,0.358,0.062,517,1696
yfhgmmcp,0.237,0.25,0.045,610,1460
mtrzjtlh,0.232,0.989,0.039,790,1464
hajrmmxd,0.722,0.278,0.242,56,1881
vljuveyr,0.223,0.367,0.108,894,1813
psgehdmv,0.307,0.669,0.191,14,1828
mxnbzoke,0.33,0.769,0.175,261,1651
vuscjktm,0.335,0.797,0.171,945,1002
scygdbvr,0.3,0.778,0.107,571,732
rhvlddzu,0.301,0.544,0.115,307,418
gxhlvgku,0.301,0.483,0.119,503,1119
tmhrxnrj,0.279,0.347,0.103,392,1648
xlwzhibt,0.276,0.35,0.099,811,1659
xvfjfwyq,0.271,0.364,0.095,852,928
khbjrhix,0.255,0.336,0.075,788,940
zvfemcvg,0.236,0.375,0.051,200,965
okdbviro,0.234,0.964,0.042,742,1437
lugeqdpn,0.684,0.336,0.218,262,1240
zeskqwbg,0.227,0.717,0.084,571,1741
hzzbagvd,0.246,0.683,0.164,133,1149
bztixhvt,0.287,0.625,0.194,540,1876
vnavcval,0.343,0.8,0.164,690,969
ycdhcvko,0.347,0.811,0.16,841,859
oofjusdu,0.35,0.858,0.155,202,1501
lhtfkxjc,0.305,0.25,0.115,251,284
pyjnlsml,0.254,0.217,0.083,37,1873
dypnitfy,0.247,0.194,0.072,80,1294
gktoyiro,0.245,0.172,0.068,319,1183
hvfyjqnn,0.298,0.094,0.101,950,1036
myjhewda,0.299,0.55,0.105,440,1624
rudcapfb,0.263,0.35,0.089,4,1761
ipmiufzr,0.256,0.356,0.081,190,588
khpscoqi,0.247,0.336,0.074,941,1423
uwvxshbz,0.236,0.211,0.056,349,861
hvdsiorh,0.235,0.022,0.053,431,1072
xrgstfbz,0.617,0.875,0.378,553,627
fyymfqxe,0.23,0.85,0.082,779,1028
ckdjxxee,0.225,0.286,0.096,888,1281
tafqmyjb,0.231,0.886,0.104,37,1495
omjdyctw,0.263,0.022,0.134,467,1679
yjhumzup,0.277,0.006,0.182,248,1606
lpexzquq,0.313,0.7,0.185,388,878
rlvmouzg,0.34,0.725,0.169,547,1956
hnmdehls,0.344,0.747,0.165,322,1399
wkfysebi,0.328,0.256,0.128,179,520
ephbdwtk,0.25,0.158,0.077,863,1188
vuxirbho,0.249,0.139,0.074,125,824
bgrzxnda,0.311,0.036,0.076,582,1155
uioqqpyo,0.299,0.308,0.104,308,1982
edasefft,0.24,0.231,0.062,754,1988
havinyqx,0.237,0.194,0.059,503,1095
frqhtdth,0.239,0.003,0.047,382,444
tqhyrywg,0.625,0.367,0.09,538,658
siacyvce,0.547,0.447,0.102,720,1208
dkkfxqkq,0.252,0.225,0.063,475,1239
vvtfpplg,0.234,0.781,0.08,418,1647
yodgizwr,0.228,0.336,0.09,723,978
yvnyklzt,0.266,0.0,0.132,717,1969
cijjskvh,0.265,0.053,0.143,395,969
txycmxtt,0.285,0.022,0.179,332,1941
ustusdvj,0.306,0.231,0.117,882,1782
ntbftdjq,0.311,0.139,0.083,678,823
qlebphbm,0.297,0.275,0.107,117,1295
vkzykxyd,0.29,0.356,0.116,684,1516
mnocezvf,0.282,0.306,0.112,851,1676
mnnlnqxo,0.27,0.214,0.096,223,1662
xftnfvnv,0.257,0.3,0.084,952,1403
pvsimuvr,0.24,0.169,0.06,102,1154
fchfgima,0.238,0.114,0.056,372,1424
jsmovcel,0.239,0.036,0.034,21,1676
zzvsuskj,0.548,0.431,0.1,420,614
xhukbgdj,0.541,0.397,0.114,74,1777
sfcaxdbj,0.253,0.217,0.06,956,1141
vszzhrrz,0.228,0.594,0.074,492,636
jqvytllw,0.243,0.853,0.1,801,1943
fykyxchk,0.26,0.892,0.111,326,1680
gwbctlkr,0.269,0.008,0.132,877,1428
imrabpdq,0.271,0.981,0.136,604,1966
kepbatxu,0.255,0.047,0.153,704,1000
bdzwqgma,0.272,0.689,0.167,322,1496
koeiiqqo,0.291,0.989,0.176,893,1863
nzjihsjw,0.258,0.181,0.089,313,446
zacmcktq,0.255,0.161,0.085,2,1897
xvzyszyn,0.316,0.125,0.074,507,723
hhllzyhm,0.313,0.228,0.082,3,120
mmijsgpv,0.28,0.333,0.112,292,969
gplucnrb,0.275,0.286,0.103,841,1815
ftgwkxml,0.272,0.267,0.099,215,1991
ytcsjrrm,0.269,0.283,0.095,351,1151
hecyqffx,0.26,0.3,0.087,892,1826
fffzgrtq,0.241,0.089,0.067,410,772
ccuqwsdy,0.24,0.031,0.063,964,1041
tngrthux,0.656,0.383,0.196,705,1323
svyitifd,0.589,0.303,0.109,167,1102
tccnqigp,0.541,0.481,0.113,942,1574
hckalotn,0.228,0.256,0.068,693,1077
uqbkvchg,0.23,0.575,0.075,97,645
mdjppdjl,0.235,0.869,0.09,565,1478
adzeasqt,0.27,0.925,0.117,329,1269
nuneaatp,0.272,0.947,0.124,384,959
beevroel,0.274,0.047,0.143,535,1324
bpojnrci,0.349,0.511,0.156,369,1559
ftbyrhsj,0.318,0.997,0.06,130,526
mkexqkws,0.313,0.247,0.077,118,1943
xyhfijca,0.311,0.267,0.085,238,1820
uncvocds,0.268,0.347,0.094,585,925
comaxqsv,0.705,0.175,0.519,626,1678
frrjpvej,0.658,0.253,0.053,30,884
sqytvurz,0.604,0.344,0.098,422,855
bjpzwapm,0.536,0.517,0.111,283,1049
yiwomxjg,0.49,0.119,0.117,356,973
mvlsjpxu,0.228,0.006,0.074,678,1420
fjddksnz,0.242,0.872,0.089,103,379
cfomsqcd,0.268,0.903,0.108,319,503
sicxlybf,0.281,0.033,0.139,740,897
kwdkcagw,0.279,0.05,0.142,106,1611
unkssslw,0.589,0.494,0.435,319,893
pvgogzwz,0.674,0.422,0.045,989,1257
rocxkojh,0.561,0.45,0.105,408,1438
uyzrxrmy,0.532,0.558,0.115,742,1466
blbfygtz,0.514,0.25,0.143,350,1310
nacnvusy,0.287,0.992,0.124,666,1052
xeydtpib,0.289,0.025,0.136,774,1975
drsoqwzs,0.287,0.197,0.114,316,1387
vnwhfvdv,0.27,0.161,0.103,181,867
qoaivoxd,0.266,0.172,0.099,502,1147
zrarkgki,0.764,0.175,0.302,474,1252
iugvdbgb,0.641,0.344,0.068,697,850
htqirjhc,0.63,0.314,0.068,447,1651
mbakfjme,0.528,0.497,0.117,457,1189
gcjmbvvn,0.424,0.078,0.004,955,1801
fdgvxiky,0.421,0.278,0.012,424,1428
bhskflkf,0.417,0.317,0.008,860,944
mbjrcgnj,0.288,0.944,0.115,289,514
xphwsgfh,0.298,0.972,0.13,232,360
bcfxhizp,0.29,0.092,0.14,949,1206
vvwnrfnj,0.274,0.147,0.105,642,853
neqneqno,0.559,0.267,0.278,207,817
hadoruwu,0.586,0.3,0.428,618,1072
jpnifszo,0.596,0.181,0.078,605,884
wqqoiibc,0.524,0.472,0.12,384,1182
erjzalsb,0.511,0.092,0.159,575,1535
mrjoyapp,0.426,0.067,0.004,741,865
puvrznmy,0.425,0.094,0.009,994,1362
brubkqvy,0.294,0.147,0.137,316,988
sxyfoqfl,0.278,0.761,0.152,17,382
vsajdsbq,0.286,0.747,0.155,118,1596
qszhjyxr,0.324,0.183,0.136,105,1276
obhombfd,0.273,0.139,0.105,613,981
swihebxr,0.74,0.025,0.357,405,1992
miymgjbd,0.666,0.319,0.054,786,1290
bzynldaq,0.52,0.522,0.125,910,1681
hcltixuc,0.419,0.153,0.017,479,1708
kvsncxau,0.26,0.742,0.083,603,1653
zmugiuwh,0.3,0.167,0.124,502,1302
ysnpotgb,0.609,0.342,0.463,336,1804
nvzhkhia,0.493,0.183,0.018,301,1042
emvzfzex,0.56,0.356,0.124,596,782
qzvastcc,0.535,0.442,0.123,394,879
xqhzunza,0.43,0.067,0.012,256,919
pggmbywl,0.429,0.072,0.013,138,1354
kpjahvta,0.427,0.089,0.018,465,1310
jazypicq,0.423,0.131,0.021,863,1832
byvoekii,0.271,0.089,0.057,860,1446
stkrgjho,0.26,0.047,0.07,400,652
yizagkro,0.307,0.006,0.112,901,1059
cgslzutp,0.314,0.086,0.123,317,1913
cedqjexh,0.276,0.125,0.144,896,1853
ghmlewfz,0.649,0.853,0.417,297,930
dtiechrp,0.584,0.069,0.319,396,972
lhzmkpsd,0.513,0.436,0.132,465,1981
itwvszsy,0.436,0.072,0.004,6,1535
bgmpzvpe,0.433,0.05,0.009,214,1152
mtvqzvjf,0.432,0.058,0.012,829,949
wpwooynr,0.278,0.083,0.056,6,256
emmhqcyv,0.291,0.867,0.092,423,605
wrrmtgsn,0.295,0.139,0.119,127,1005
nzhbqqbd,0.61,0.322,0.09,665,1245
ajdnyfce,0.435,0.075,0.013,137,467
rmzrouqk,0.434,0.108,0.013,553,1613
aalsungp,0.432,0.161,0.021,360,935
ngpjukgk,0.423,0.211,0.03,626,698
crngfvym,0.419,0.228,0.03,91,116
vldmjhls,0.415,0.214,0.018,204,1847
fygnadfi,0.274,0.114,0.066,41,293
nthfcshm,0.295,0.833,0.088,483,1022
jrrhfbsn,0.319,0.908,0.098,329,730
rdrahoun,0.34,0.744,0.158,79,1666
fydhypqu,0.588,0.144,0.15,167,1597
tjpnplkr,0.584,0.2,0.423,119,896
eldylzev,0.582,0.103,0.301,821,1069
jdjswuxb,0.581,0.439,0.129,309,1654
welkolqe,0.508,0.017,0.03,262,879
scjzvztp,0.448,0.119,0.013,100,791
pckcyycj,0.443,0.106,0.013,819,1864
mzunfzfb,0.439,0.083,0.013,249,684
exbhhedl,0.435,0.158,0.017,328,1247
badxmfav,0.432,0.25,0.024,978,1060
szgkxbob,0.425,0.172,0.034,298,1453
khettwsj,0.278,0.142,0.064,254,1992
dwxwkcyc,0.297,0.789,0.084,775,1567
umhnrwrl,0.281,0.158,0.113,956,1746
ezhyfeuc,0.629,0.361,0.498,89,1762
cqikozwo,0.542,0.186,0.048,587,673
xpcfjbsv,0.553,0.761,0.372,128,1510
kmmwuyag,0.456,0.136,0.017,501,1202
ehbxbaxq,0.445,0.1,0.017,508,793
qnhpksii,0.436,0.167,0.021,777,1202
hjzcvxjs,0.431,0.2,0.03,214,1580
rcsnovxi,0.287,0.722,0.078,769,1670
wnozkruj,0.763,0.9,0.396,380,1319
zhhlskgj,0.729,0.111,0.275,927,1843
qreoelya,0.581,0.158,0.075,403,1074
byrwwajw,0.586,0.85,0.182,57,1846
yckmwtzz,0.565,0.375,0.291,157,586
ihjvtyak,0.501,0.494,0.157,520,1051
rflbvkmt,0.459,0.172,0.021,256,545
mibysflg,0.456,0.119,0.021,674,910
rdsrruzw,0.446,0.061,0.021,415,1604
fxmsvqrq,0.432,0.133,0.033,360,1812
niuhdzxo,0.43,0.169,0.036,748,1760
aaenkkjn,0.422,0.186,0.039,355,673
lfzxvkpa,0.269,0.047,0.067,111,1840
tggagewp,0.315,0.714,0.081,467,729
ekqezmat,0.762,0.853,0.405,487,1658
pycltsrk,0.548,0.903,0.35,834,1473
scxhpghb,0.583,0.944,0.406,439,1212
evcpwxky,0.556,0.219,0.274,265,1526
adoxwaqj,0.5,0.861,0.021,329,1532
lasetgps,0.459,0.1,0.025,264,1928
mmfejmjd,0.454,0.111,0.025,388,1167
okkpixyb,0.449,0.047,0.025,243,1348
uemstyoe,0.282,0.153,0.098,627,1669
ztngqtdd,0.603,0.931,0.475,253,613
hbzeamtz,0.617,0.031,0.162,875,1915
vgwjcdfh,0.583,0.683,0.177,63,1963
iefnmcoi,0.599,0.911,0.363,816,1155
bksbnhpo,0.583,0.25,0.303,521,1756
saginibc,0.472,0.269,0.063,47,771
iixqmjij,0.455,0.083,0.03,155,1211
belwwxwz,0.426,0.186,0.051,927,1494
cpmkvfcb,0.425,0.203,0.048,469,1172
nkbpkiyy,0.289,0.764,0.067,359,1861
wkvfjhoh,0.795,0.889,0.395,478,880
pdvlebdj,0.511,0.617,0.185,765,943
ithkmsfb,0.514,0.461,0.144,267,1163
vnjqphoy,0.51,0.408,0.132,807,1150
mebrbqrt,0.462,0.092,0.034,863,1008
zipoxafo,0.328,0.747,0.078,153,1079
cclgwcjy,0.334,0.775,0.081,258,1598
hpnovkoh,0.615,0.422,0.516,122,406
ehiczopb,0.705,0.314,0.073,45,833
dyypiifx,0.588,0.417,0.12,115,865
etwqpnbz,0.5,0.406,0.119,821,837
ndrtzbfa,0.395,0.439,0.004,812,961
gsybqwqt,0.237,0.089,0.0,137,855
whgppxvi,0.814,0.039,0.365,180,585
szfupevh,0.698,0.278,0.078,403,1613
xjdqysfc,0.504,0.469,0.139,527,1898
aoevbmkd,0.467,0.067,0.042,706,1372
iettezpo,0.414,0.228,0.042,131,387
ibozuncj,0.3,0.817,0.121,812,875
ivovxaxu,0.314,0.192,0.088,660,1841
tqgiwurg,0.578,0.269,0.228,653,1703
ksdwujro,0.574,0.889,0.354,989,1530
gvvdwskh,0.711,0.25,0.079,627,685
tbeinkwn,0.492,0.581,0.185,338,1067
mxeunqct,0.496,0.461,0.126,355,1948
qtybvbdi,0.534,0.144,0.056,844,1524
cryzgyry,0.47,0.056,0.046,187,1087
oeskplxp,0.468,0.05,0.046,178,1450
fxvymvqy,0.327,0.797,0.128,20,928
rukwamdg,0.354,0.092,0.104,625,1672
xopvizzy,0.348,0.217,0.098,648,1529
xppnqvol,0.317,0.233,0.084,228,1068
lbnwqgxu,0.615,0.933,0.487,609,1025
fpurlmrn,0.613,0.0,0.447,838,1333
yjkskbib,0.71,0.244,0.083,66,432
